t,R,I,p,V,Parameters,goal,safe,unsafe,measurement,value
0.5,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.304652197286487e-05
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.00474199466407299
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.0002357716002734378
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0004645058361347765
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.0003052449901588261
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0017543425783514977
0.55,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.280401430558413e-05
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.00517299585044384
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.0002510338381398469
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0003767886955756694
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.000289132643956691
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.002099458361044526
0.6000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.256534834392369e-05
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.00560398492962122
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\theta$,0.0002654904674272984
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$Q_g$,-0.0002718157775234431
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{\theta}$,0.00027382784173823893
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\dot{Q}_g$,0.0024275355972349644
0.65,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,V,6.233039312064648e-05
0.7000000000000001,61.5,35328141.0,1.225,10.0,"R = 61.5, I = 3.53e+07, p = 1.23, V = 10",False,True,False,$\Omega$,0.006034959573298693
